name,primary_muscle,secondary_muscles,equipment,category,level
3/4 Sit-Up,abdominals,,body only,strength,beginner
90/90 Hamstring,hamstrings,calves,body only,stretching,beginner
Ab Crunch Machine,abdominals,,machine,strength,intermediate
Ab Roller,abdominals,shoulders,other,strength,intermediate
Adductor,adductors,,foam roll,stretching,intermediate
Adductor/Groin,adductors,,,stretching,intermediate
Advanced Kettlebell Windmill,abdominals,"glutes, hamstrings, shoulders",kettlebells,strength,intermediate
Air Bike,abdominals,,body only,strength,beginner
All Fours Quad Stretch,quadriceps,quadriceps,body only,stretching,intermediate
Alternate Hammer Curl,biceps,forearms,dumbbell,strength,beginner
Alternate Heel Touchers,abdominals,,body only,strength,beginner
Alternate Incline Dumbbell Curl,biceps,forearms,dumbbell,strength,beginner
Alternate Leg Diagonal Bound,quadriceps,"abductors, adductors, calves, glutes, hamstrings",,plyometrics,beginner
Alternating Cable Shoulder Press,shoulders,triceps,cable,strength,beginner
Alternating Deltoid Raise,shoulders,,dumbbell,strength,beginner
Alternating Floor Press,chest,"abdominals, shoulders, triceps",kettlebells,strength,beginner
Alternating Hang Clean,hamstrings,"biceps, calves, forearms, glutes, lower back, traps",kettlebells,strength,intermediate
Alternating Kettlebell Press,shoulders,triceps,kettlebells,strength,intermediate
Alternating Kettlebell Row,middle back,"biceps, lats",kettlebells,strength,intermediate
Alternating Renegade Row,middle back,"abdominals, biceps, chest, lats, triceps",kettlebells,strength,expert
Ankle Circles,calves,,,stretching,beginner
Ankle On The Knee,glutes,,,stretching,beginner
Anterior Tibialis-SMR,calves,,other,stretching,intermediate
Anti-Gravity Press,shoulders,"middle back, traps, triceps",barbell,strength,beginner
Arm Circles,shoulders,traps,,stretching,beginner
Arnold Dumbbell Press,shoulders,triceps,dumbbell,strength,intermediate
Around The Worlds,chest,shoulders,dumbbell,strength,intermediate
Atlas Stone Trainer,lower back,"biceps, forearms, glutes, hamstrings, quadriceps",other,strongman,intermediate
Atlas Stones,lower back,"abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps",other,strongman,expert
Axle Deadlift,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",other,strongman,intermediate
Back Flyes - With Bands,shoulders,"middle back, triceps",bands,strength,beginner
Backward Drag,quadriceps,"calves, forearms, glutes, hamstrings, lower back",other,strongman,beginner
Backward Medicine Ball Throw,shoulders,,medicine ball,plyometrics,beginner
Balance Board,calves,"hamstrings, quadriceps",other,strength,beginner
Ball Leg Curl,hamstrings,"calves, glutes",exercise ball,strength,beginner
Band Assisted Pull-Up,lats,"abdominals, forearms, middle back",other,strength,beginner
Band Good Morning,hamstrings,"glutes, lower back",bands,powerlifting,beginner
Band Good Morning (Pull Through),hamstrings,"glutes, lower back",bands,powerlifting,beginner
Band Hip Adductions,adductors,,bands,strength,beginner
Band Pull Apart,shoulders,"middle back, traps",bands,strength,beginner
Band Skull Crusher,triceps,,bands,strength,beginner
Barbell Ab Rollout,abdominals,"lower back, shoulders",barbell,strength,intermediate
Barbell Ab Rollout - On Knees,abdominals,"lower back, shoulders",barbell,strength,expert
